Artifact,Type,Tool
9380CC75B872221A7425D7503565B67580407F60,hash,Generic RMM
AEMAgent.exe,filename,CentraStage
AMMYY_Admin.exe,filename,Ammyy Admin
ARDAgent.app,filename,Apple Remote Desktop
AcronisCyberProtectConnectAgent.exe,filename,Acronis Cyber Protect
AcronisCyberProtectConnectQuickAssist*.exe,filename,Acronis Cyber Protect
AeroAdmin.exe,filename,AeroAdmin
AgentSetup-*.exe,filename,Naverisk
Agent_*_RW.exe,filename,N-Able
AgentlessRC.exe,filename,Ivanti Remote Control
ArcUI.exe,filename,Ivanti Remote Control
AweSun.exe,filename,AweRay
BASEClient.exe,filename,N-Able
BASupApp.exe,filename,BeAnywhere
BASupAppElev.exe,filename,BeAnywhere
BASupAppSrvc.exe,filename,BeAnywhere
BASupSrvc.exe,filename,N-Able
BASupSrvcCnfg.exe,filename,N-Able
BASupSysInf.exe,filename,BeAnywhere
BASupTSHelper.exe,filename,N-Able
Beinsync*.exe,filename,BeInSync
G2RDesktopConsole-x64.msi,filename,GoTo Resolve
MobaXterm_installer_12.1.msi,filename,MobaXterm
SecureCR*.EXE,filename,SecureCRT
ZA_Access.exe,filename,Zoho Assist
kitty.exe,filename,KiTTY
ngrok.zip,filename,ngrok
nxplayer.exe,filename,FreeNX
puttytray.exe,filename,PuTTY Tray
AlpemixService.exe,filename,Alpemix
*\\AlpemixSrvc\\,filepath,Alpemix
*\\Downloads\\SuperPuTTY\\*,filepath,SuperPuTTY
*\\Program Files (x86)\\Almageste\\DragonDisk\\*,filepath,DragonDisk
*\\Program Files (x86)\\AnyDesk\\*,filepath,AnyDesk
*\\Program Files (x86)\\AnyViewer\\*,filepath,AnyViewer
*\\Program Files (x86)\\Atera Networks,filepath,Atera
*\\Program Files (x86)\\Bitvise SSH Client\\*,filepath,Bitvise SSH Client
*\\Program Files (x86)\\Bluetrait Agent\\*,filepath,Bluetrait
*\\Program Files (x86)\\DesktopCentral_Agent\\bin\\*,filepath,ManageEngine Desktop Central
*\\Program Files (x86)\\GoTo Opener,filepath,GoTo
*\\Program Files (x86)\\GoToMyPC\\*,filepath,GoToMyPC
*\\Program Files (x86)\\Google\\Chrome Remote Desktop\\*,filepath,Chrome Remote Desktop
*\\Program Files (x86)\\ISL Online\\ISL Light*,filepath,ISL Online
*\\Program Files (x86)\\Kaseya\\,filepath,Kaseya
*\\Program Files (x86)\\LANDesk\\*,filepath,LANDesk
*\\Program Files (x86)\\NetSarang\\xShell\\*,filepath,Xshell
*\\Program Files (x86)\\OnionShare\\*,filepath,OnionShare
*\\Program Files (x86)\\PJ Technologies\\GOVsrv\\*,filepath,Goverlan
*\\Program Files (x86)\\Radmin Viewer 3\\Radmin.exe,filepath,RAdmin
*\\Program Files (x86)\\RemotePC\\*,filepath,RemotePC
*\\Program Files (x86)\\S3 Browser\\*,filepath,S3 Browser
*\\Program Files (x86)\\ScreenConnect Client*,filepath,ScreenConnect
*\\Program Files (x86)\\ScreenConnect Client*\\ScreenConnect.ClientService.exe,filepath,ScreenConnect
*\\Program Files (x86)\\SmartFTP Client\\en-US\\,filepath,SmartFTP
*\\Program Files (x86)\\Splashtop\\*,filepath,Splashtop
*\\Program Files (x86)\\UltraViewer\\UltraViewer_Desktop.exe,filepath,UltraViewer
*\\Program Files (x86)\\Xpra\\*,filepath,Xpra
*\\Program Files (x86)\\Yandex\\*,filepath,Yandex.Disk
*\Program Files (x86)\mRemoteNG\*,filepath,mRemoteNG
*\\Program Files\\ATERA Networks\\AteraAgent\\*,filepath,Atera
*\\Program Files\\AnyDesk\\*,filepath,AnyDesk
*\\Program Files\\Atera Networks,filepath,Atera
*\\Program Files\\Bitvise SSH Server\\*,filepath,Bitvise SSH Server
*\\Program Files\\Danware Data\\NetOp Packn Deploy\\*,filepath,Netop Remote Control
*\\Program Files\\Level\\*,filepath,Level.io
*\\Program Files\\LiteManager Pro \\u2013 Viewer\\*,filepath,LiteManager
*\\Program Files\\ManageEngine\\ManageEngine Free Tools\\Launcher\\*,filepath,ManageEngine
*\\Program Files\\RealVNC\\VNC Server\\*,filepath,RealVNC
*\\Program Files\\Remote Utilities\\*,filepath,Remote Utilities
*\\Program Files\\Solar-Putty-v4\\*,filepath,Solar-PuTTY
*\\Program Files\\SolarWinds\\Dameware Mini Remote Control\\*,filepath,DameWare
*\\Program Files\\SysAidServer\\*,filepath,SysAid
*\\Program Files\\TeamViewer\\,filepath,TeamViewer
*\\Program Files\\TightVNC\\*,filepath,TightVNC
*\\Program Files\\ZOC8\\*,filepath,ZOC
*\\Program Files\\uvnc bvba\\UltraVNC\\*,filepath,UltraVNC
*\\ProgramData\\Kaseya\\,filepath,Kaseya
*\\ProgramData\\Total Software Deployment\\*,filepath,Total Software Deployment
*\\ProgramFiles*\\GoTo Machine Installer\\*,filepath,GoTo
*\\Users\\*\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extensions\\iodihamcpbpeioajjeobimgagajmlibd*,filepath,Chrome Remote Desktop
*\\Users\\*\\AppData\\Local\\MEGAsync\\*,filepath,MEGAsync
*\\Users\\*\\AppData\\Roaming\\Mikogo\\*,filepath,Mikogo
*\\Users\\*\\AppData\\Roaming\\SyncTrayzor\\*,filepath,SyncTrayzor
*\\Users\\*\\Downloads\\AMMYY_Admin.exe,filepath,Ammyy Admin
*\\Users\\*\\ExtraPuTTY-0.30-2016-01-28-installer.exe,filepath,ExtraPuTTY
*\\Users\\IEUser\\Downloads\\WinSCP-5.21.6-Portable\\*,filepath,WinSCP
*\\Users\\*\\AppData\\Roaming\\Insync\\App\\Insync.exe,filepath,Insync
*\\Windows\\Action1\\*,filepath,Action1
*\\Windows\\SysWOW64\\rserver30\\FamItrf2,filepath,RAdmin
*\\Windows\\SysWOW64\\rserver30\\FamItrfc,filepath,RAdmin
*\\Windows\\SysWOW64\\rserver30\\rserver3.exe,filepath,RAdmin
*\\Windows\\System32\\mstsc.exe,filepath,Microsoft RDP
*\\Windows\\dwrcs\\*,filepath,DameWare
*\\ProgramData\\AMMYY\\*,filepath,Ammyy Admin
CBBackupPlan.exe,filename,MSP360
CagService.exe,filename,CentraStage
Cloud.Backup.RM.Service.exe,filename,MSP360
Cloud.Backup.Scheduler.exe,filename,MSP360
CloudRaCmd.exe,filename,MSP360
CloudRaSd.exe,filename,MSP360
CloudRaService.exe,filename,MSP360
