Artifact,Type,Tool
*.syncromsp.com,domain,Syncro
packagesstore.blob.core.windows.net,domain,Atera
xeox.com,domain,Xeox
*.zoho.in,domain,Zoho Assist
imperosoftware.com,domain,Impero Connect
n-able.com,domain,N-Able
content.rview.com,domain,RemoteView
*.litemanager.ru,domain,LiteManager
*.rel.tunnels.api.visualstudio.com,domain,Visual Studio Dev Tunnel
remotedesktop.google.com,domain,Chrome Remote Desktop
*.gotoassist.me,domain,GoToAssist
*.jumpto.me,domain,Jump Desktop
plus*.site24x7.com,domain,Site24x7
github.com/stascorp/rdpwrap,url,rdpwrap
ocsinventory-ng.org,domain,OCS Inventory
*.zoho.com,domain,Zoho Assist
rustdesk.com,domain,RustDesk
litemanager.com,domain,LiteManager
*.sophosupd.com,domain,Sophos
sorillus.com,domain,Sorillus
agentreporting.atera.com,domain,Atera
barracudamsp.com,domain,Barracuda RMM
*.auvik.com,domain,Auvik
*.logmeinrescue.eu,domain,LogMeIn Rescue
*.scrn.mt,domain,ScreenMeet
portal.ehorus.com,domain,Pandora RC
*.cmdm.comodo.com,domain,Itarian
pulseway.com,domain,Pulseway
*.fastviewer.com,domain,FastViewer
*.litemanager.com,domain,LiteManager
GetScreen.me,domain,GetScreen
aeroadmin.com,domain,AeroAdmin
*.ivanticloud.com,domain,Ivanti Remote Control
* .nanosystems.it,domain,Supremo
*.itsm-us1.comodo.com,domain,Itarian
ninjaone.com,domain,NinjaRMM
cloud.acronis.com,domain,Acronis Cyber Protect
*.gatherplace.net,domain,GatherPlace
todesktop.com,domain,ToDesk
*.instanthousecall.net,domain,Instant Housecall
*.mikogo.com,domain,Mikogo
global.rel.tunnels.api.visualstudio.com,domain,Visual Studio Dev Tunnel
*.zerotier.com,domain,ZeroTier
deskday.ai,domain,DeskDay
tanium.com/products/tanium-deploy,url,Tanium Deploy
*.GoToMyPC.com,domain,GoToMyPC
client.oray.net,domain,SunLogin
*.optitune.us,domain,OptiTune
*.fleetdeck.io,domain,FleetDeck.io
imperosoftware.com/impero-connect/,url,Netop Remote Control
getalphacontrol.com,domain,Atera
*.instanthousecall.com,domain,Instant Housecall
datto.com/au/products/rmm/,url,CentraStage
electric.ai,domain,Electric
client-api.aweray.com,domain,AweRay
mikogo.com,domain,Mikogo
ngrok.com,domain,ngrok
upload_data.qq.com,domain,QQ
*.zohoassist.jp,domain,Zoho Assist
helpbeam.software.informer.com,domain,HelpBeam
*.intelliadmin.com,domain,IntelliAdmin
getscreen.me,domain,GetScreen
appcdn.atera.com,domain,Atera
dameware.com,domain,DameWare
*.endpoint.ingress.rapid7.com,domain,Rapid7
connectwise.com,domain,Connectwise Automate
www.remotepc.com,domain,RemotePC
syncromsp.com,domain,Syncro
weezo.net,domain,Weezo
